,Rank,Team,Index,Wins,Losses,Ties,Points
112,164,Loyola Maryland,16.271118597709904,4,7,6,18
16,165,Jacksonville,16.20274413404792,4,7,5,17
196,166,Gonzaga,15.64953640913428,5,10,2,17
41,167,Sacred Heart,15.577454316444515,8,6,2,26
131,168,Saint Mary's (CA),15.53505677542684,2,9,6,12
118,169,Marist,15.418201950390147,7,9,2,23
8,170,Stony Brook,15.310497559526658,2,10,3,9
124,171,Lipscomb,15.178033039506175,3,8,5,14
141,172,UIW,15.030630978770409,5,6,6,21
153,173,Grand Canyon,14.797002065136656,5,10,3,18
199,174,Liberty,14.367416810655847,6,7,3,21
191,175,UTRGV,14.169303074830994,3,7,5,14
30,176,Manhattan,14.060981802752188,5,8,3,18
7,177,Villanova,13.797353160285136,1,10,6,9
40,178,Holy Cross,13.597151670805195,4,9,5,17
75,179,Lehigh,13.503910963099116,6,10,3,21
201,180,Presbyterian,13.448293019160653,5,8,2,17
157,181,UC San Diego,13.354492385417233,4,9,5,17
168,182,Utah Tech,12.713621508926886,4,10,4,16
38,183,UAlbany,12.65820013118689,4,12,2,14
202,184,Queens (NC),12.017911750475662,5,10,3,18
108,185,Stonehill,11.737281108421543,6,9,3,21
142,186,Longwood,11.432656884820847,5,10,3,18
14,187,NIU,11.39073747875149,3,12,1,10
204,188,Yale,11.304447021323366,3,11,1,10
60,189,FGCU,11.289630166899595,3,10,3,12
95,190,Navy,10.336326840995444,4,8,4,16
152,191,Western Ill.,10.276780103042206,6,11,1,19
115,192,Saint Joseph's,10.236518623822693,4,12,1,13
212,193,Trine,10.115130706323678,0,3,0,0
88,194,Quinnipiac,10.007394415280288,6,9,1,19
176,195,Fairfield,9.958505088555409,3,9,5,14
82,196,Winthrop,9.89064189761752,5,12,1,16
1,197,George Washington,9.271719350013521,3,12,2,11
12,198,Canisius,9.247739422498192,4,8,4,16
36,199,Army West Point,8.114904579549778,4,11,2,14
91,200,Mount St. Mary's,8.014003632848555,3,11,4,13
116,201,Chicago St.,6.936256168233122,3,11,1,10
114,202,Merrimack,6.533485211232317,3,11,2,11
2,203,Howard,6.2629412525582095,2,11,3,9
6,204,Saint Peter's,5.7793382961894375,2,10,4,10
46,205,USC Upstate,5.142527350677779,3,15,0,9
39,206,Niagara,4.978745475687202,2,12,2,8
203,207,Columbia,4.967201334594205,1,12,1,4
210,208,VMI,4.242311440485594,1,11,2,5
148,209,Air Force,3.6873095675993737,1,15,1,4
182,210,Radford,3.6441233105112216,0,13,3,3
197,211,Eastern Ill.,3.490884358935578,1,12,2,5
92,212,Southern Ind.,3.2075340033234,1,14,2,5
193,213,Central Conn. St.,2.9286453518886995,1,14,1,4
