,Rank,Team,Index,Wins,Losses,Points
22,207,Kansas St.,10.050368266944993,12,20,36
108,208,Bethune-Cookman,10.005306669236054,17,14,51
293,209,Western Caro.,9.951782774544673,14,15,42
118,210,Ohio,9.733122420260607,14,16,42
284,211,Drexel,9.700974229908244,16,16,48
209,212,Pittsburgh,9.645692134578882,12,20,36
175,213,Maryland,9.55878340290664,11,21,33
6,214,Fordham,9.554972137525054,14,15,42
53,215,Milligan,9.548987646331772,0,2,0
50,216,Oregon,9.497411467030227,12,20,36
311,217,Memphis,9.392470931488697,13,19,39
68,218,Richmond,9.3845678900934,15,17,45
64,219,Temple,9.239344140641453,15,16,45
81,220,Marquette,8.9775634464506,11,20,33
14,221,South Carolina,8.824393396736372,13,19,39
285,222,Penn St.,8.720172143296686,11,20,33
137,223,North Dakota,8.707345672150774,16,16,48
442,224,Central St. (OH),8.635462622306417,0,2,0
415,225,N.M. Highlands,8.571145346477724,0,2,0
458,226,La Sierra,8.550537828251256,0,2,0
397,227,Arlington Baptist,8.541401248694513,0,2,0
171,228,Colgate,8.53291002136088,17,14,51
76,229,LaGrange,8.53041795259412,0,2,0
19,230,Lindenwood,8.433966769338952,15,15,45
12,231,SIUE,8.395441134595528,18,13,54
344,232,Weber St.,8.367380317960263,15,16,45
133,233,Abilene Christian,8.309761484536509,13,19,39
115,234,Central Conn. St.,8.262126573918735,17,12,51
429,235,CCNY,8.236780737458016,0,2,0
439,236,Brescia,8.212249029069229,0,2,0
432,237,Evergreen St.,8.189975461391715,0,2,0
386,238,Jacksonville St.,8.1750747157629,13,17,39
329,239,Elon,8.164099523248101,12,18,36
94,240,Northwest Indian,8.162148638497815,0,2,0
363,241,Cal Poly,8.127770986528782,12,18,36
337,242,Averett,8.120871010960816,0,2,0
264,243,Youngstown St.,8.053389336806363,13,16,39
234,244,Trinity Christian,8.033282796628024,0,2,0
441,245,St. Mary's (MD),8.023226012860976,0,2,0
433,246,Ohio Wesleyan,8.01711674404322,0,2,0
85,247,Fresno St.,8.009868800805139,12,19,36
452,248,Pfeiffer,7.957102069124773,0,2,0
17,249,UNC Asheville,7.951062570390116,14,17,42
98,250,Eastern Wash.,7.945320875057306,14,18,42
164,251,Portland,7.92502266084658,13,19,39
130,252,Tougaloo,7.879545136138999,0,2,0
80,253,Tarleton St.,7.865332763191034,11,17,33
349,254,Webster,7.864284211583065,0,2,0
74,255,Dallas,7.849505884355494,0,2,0
449,256,Ind.-East,7.833398450413791,0,2,0
5,257,Mount St. Mary's,7.83196330847619,15,17,45
97,258,LMU (CA),7.798628993868789,14,17,42
459,259,Siena Heights,7.7147439046603745,0,2,0
395,260,New Orleans,7.706227830520062,14,18,42
450,261,Mt. Marty,7.703368972743094,0,2,0
161,262,Denver,7.661803583102765,13,16,39
218,263,Washington St.,7.508216131461243,12,19,36
128,264,Drake,7.393347909047433,11,20,33
387,265,Reinhardt,7.392877891574894,0,2,0
29,266,West Coast Baptist,7.380781483946074,0,2,0
409,267,Missouri St.,7.3050676158288725,12,19,36
390,268,Columbia Int'l,7.269413402995482,0,2,0
343,269,Utah,7.250770900293553,9,22,27
242,270,Colo. Christian,7.217126437347069,0,2,0
461,271,Columbia (SC),7.178466888626806,0,2,0
424,272,Eastern Ore.,7.119258269763937,0,2,0
254,273,FGCU,7.10135346219754,15,18,45
338,274,Presbyterian,7.097160558227003,13,17,39
