,Rank,Team,Index,Wins,Losses,Ties,Points,Mask
123,167,Middle Georgia,8.948646951330046,4,9,5,17,True
230,168,Sioux Falls,8.848691210532554,6,10,2,20,True
125,169,MSU Denver,8.819170724131403,2,9,7,13,True
283,170,Chaminade,8.633411212641377,1,5,8,11,True
200,171,Fresno Pacific,8.613266658137745,4,8,5,17,True
170,172,Edinboro,8.302101816457922,8,9,1,25,True
39,173,Colo. Christian,8.293714210347863,3,8,6,15,True
194,174,Northwest Nazarene,8.242030083208965,5,11,2,17,True
119,175,Menlo,8.114926239884346,3,6,7,16,True
268,176,Emmanuel (GA),8.09832156121291,6,7,4,22,True
97,177,Westmont,8.011374959492812,5,11,0,15,True
226,178,Southern Conn. St.,7.76390318095321,3,9,3,12,True
84,179,Lynn,7.676277228567436,2,10,4,10,True
128,180,West Tex. A&M,7.586828202694734,7,9,2,23,True
227,181,Bridgeport,7.572164258405167,4,9,5,17,True
148,182,Thomas More,7.519496662710599,7,10,2,23,True
117,183,Shaw,7.35059904925898,5,5,3,18,True
179,184,CSU Pueblo,7.220811391401317,4,9,6,18,True
85,185,Tex. A&M Int'l,7.209805419844552,3,9,4,13,True
166,186,North Greenville,7.121658302430324,5,10,3,18,True
25,187,Southern Wesleyan,7.083884706944412,6,9,3,21,True
223,188,American Int'l,6.738486404954912,3,10,2,11,True
64,189,Davenport,6.508644981945698,4,12,3,15,True
219,190,Georgian Court,6.420557368702538,6,10,1,19,True
249,191,Ill. Springfield,6.412128843490527,5,9,3,18,True
254,192,Felician,6.325593602801236,4,7,7,19,True
248,193,Neb.-Kearney,6.291439841152475,3,9,5,14,True
144,194,Roosevelt ,6.2512549197629275,5,12,1,16,True
281,195,West Va. Wesleyan,6.1153635729424956,7,9,2,23,True
266,196,King (TN),6.088936534447831,6,9,1,19,True
272,197,Mount Olive,5.937048043672496,5,11,3,18,True
110,198,Ohio Dominican,5.850327412211388,4,9,5,17,True
40,199,Okla. Christian,5.780916410790262,6,10,2,20,True
112,200,Malone,5.7252294774575185,5,9,3,18,True
101,201,Goldey-Beacom,5.675513036483856,6,9,3,21,True
26,202,Hawaii Pacific,5.5523864866563075,2,10,5,11,True
181,203,Saint Martin's,5.541162554159161,2,12,4,10,True
114,204,Queens (NY),5.485802399695714,2,9,6,12,True
262,205,Jessup,5.2893631785795545,1,9,5,8,True
174,206,Barton,5.123048605708321,4,11,1,13,True
229,207,Black Hills St.,4.91301775890554,4,9,5,17,True
158,208,Edward Waters,4.51946094408447,4,10,1,13,True
222,209,D'Youville,4.484589180013307,2,11,3,9,True
176,210,Okla. Baptist,4.3159794454302185,2,11,5,11,True
215,211,Fort Hays St.,4.244442823259986,3,11,3,12,True
78,212,Western Colo.,4.236706168709628,2,12,5,11,True
178,213,UT Permian Basin,4.1074250919605,3,10,3,12,True
134,214,Christian Brothers,4.037499595458634,2,13,1,7,True
118,215,San Fran. St.,3.861337567160681,1,14,3,6,True
107,216,Holy Family,3.846054747389644,3,11,3,12,True
93,217,Clarion,3.7892809649013053,4,12,3,15,True
1,218,Glenville St.,3.7776987398613135,6,13,1,19,True
264,219,Virginia St.,3.7088261067391484,5,10,1,16,True
98,220,Southwest Baptist,3.6876670362425146,3,12,3,12,True
45,221,Dominican (NY),3.672697002839749,4,11,3,15,True
92,222,Ursuline,3.5951011312116616,4,12,1,13,True
162,223,William Jewell,3.492252093454919,2,11,4,10,True
252,224,Wheeling,3.442101346079267,3,11,4,13,True
47,225,Tiffin,3.4377410332454135,3,12,3,12,True
28,226,Mars Hill,3.390283480674461,1,13,1,4,True
60,227,East Central,3.333865145183208,1,13,4,7,True
297,228,Lincoln (MO),3.244810131674632,1,10,4,7,True
99,229,Mo. Southern St.,3.216152963583555,2,13,3,9,True
216,230,St. Thomas Aquinas,3.2134288350173965,1,11,3,6,True
239,231,AUM,3.212947924129088,1,14,2,5,True
