,Rank,Team,Index,Wins,Losses,Ties,Points
88,162,Saint Vincent,17.758742799107452,2,4,0,6
94,163,Va. Wesleyan,17.652569087142084,3,4,0,9
176,164,SUNY Geneseo,17.33236028786638,1,4,0,3
224,165,Hamilton,16.985566245891814,1,4,0,3
1,166,Southern Va.,16.855583943448554,3,6,0,9
90,167,Ursinus,16.58573978569982,2,5,0,6
41,168,Wilmington (OH),16.543379739641527,3,4,0,9
99,169,Muskingum,16.239372315478942,3,4,0,9
121,170,Edgewood,16.062228648571754,1,3,0,3
208,171,Russell Sage,15.925648975561673,3,4,0,9
187,172,Alfred St.,15.884489199305719,2,3,0,6
215,173,SUNY Oneonta,15.825264662713208,2,4,0,6
54,174,Hartford,15.46938253797997,1,4,0,3
114,175,Heidelberg,15.449619130883075,3,4,0,9
220,176,Keuka,15.426805837904372,1,2,0,3
212,177,Virginia St.,15.094214772761736,0,1,0,0
79,178,Catholic,15.018798511142085,2,5,0,6
225,179,Utica,14.962649816962546,1,2,0,3
157,180,Dubuque,14.791020648595314,1,4,0,3
74,181,Lake Forest,14.75849961872307,2,4,0,6
192,182,Norwich,14.731559325556598,2,4,0,6
235,183,Purchase,14.629039554989879,2,2,0,6
164,184,Concordia Wisconsin,14.473454378713798,1,4,0,3
101,185,Western New Eng.,14.47071774210452,2,5,0,6
103,186,Keene St.,14.468498819384905,1,4,0,3
230,187,St. Joseph's (L.I.),13.215381288976676,1,2,0,3
209,188,Gordon,12.94146844074401,1,2,0,3
106,189,Wash. & Jeff.,12.907428414441886,2,4,0,6
156,190,SUNY New Paltz,12.606794241741607,2,5,0,6
3,191,Shorter,12.600119374970967,0,1,0,0
123,192,Saint Joseph (CT),12.39731073783785,2,4,0,6
49,193,Earlham,12.35752737827915,3,5,0,9
80,194,Messiah,12.227133509843823,1,5,0,3
183,195,Manhattanville,12.149787895610421,1,5,0,3
95,196,Neumann,11.934182780770787,2,5,0,6
44,197,Emerson,11.642226396949004,2,6,0,6
45,198,Bethany (WV),11.172196710045748,2,4,0,6
77,199,Misericordia,11.135374353806974,1,5,0,3
174,200,Regis (MA),11.086710922708878,1,3,0,3
21,201,Hendrix,10.974763242190384,2,5,0,6
169,202,Mt. St. Mary (NY),10.901109785078019,2,3,0,6
67,203,IIT,10.842994768889428,1,4,0,3
46,204,Guilford,10.640033746203603,2,5,0,6
195,205,Clarke,10.574057421163623,1,3,0,3
40,206,Averett,10.499547427500007,3,6,0,9
152,207,Emmanuel (MA),10.08435998713895,1,5,0,3
86,208,Widener,10.010914171659966,1,5,0,3
25,209,Huntingdon,9.813327186888946,2,4,0,6
91,210,Juniata,9.750726016236516,1,4,0,3
107,211,Gwynedd Mercy,9.665880516341065,3,6,0,9
184,212,Nichols,9.363396146944162,1,5,0,3
186,213,Southern Me.,9.317950920235285,2,5,0,6
47,214,Greensboro,9.194032389850113,3,6,0,9
165,215,Franciscan,9.113320286989046,1,4,0,3
12,216,DeSales,8.771485164514454,1,6,0,3
98,217,Bridgewater (VA),8.689688069216425,2,6,0,6
57,218,Wilkes,8.518371005308099,2,5,0,6
161,219,Aurora,8.513807288239526,0,5,0,0
166,220,Hiram,8.19602426384816,2,5,0,6
148,221,Benedictine (IL),7.924643058948105,1,5,0,3
233,222,La Roche,7.8849180180275065,0,2,0,0
188,223,Centenary (NJ),6.854397411952097,0,3,1,1
15,224,Albright,6.740711788654478,1,7,0,3
243,225,Northland,6.73270979216314,0,3,0,0
30,226,Berry,6.489699419601419,0,5,0,0
197,227,SUNY Canton,6.3871724635889,1,4,0,3
116,228,Rosemont,6.38451540401596,1,6,0,3
110,229,Scranton,6.171889715186335,0,7,0,0
237,230,Bryn Athyn,6.018140722187724,0,3,1,1
134,231,LaGrange,5.837516144338279,0,4,0,0
2,232,Oglethorpe,5.413424629521091,2,6,0,6
105,233,Pitt.-Bradford,5.112169227327402,1,3,0,3
194,234,Augustana (IL),5.072246421924945,0,3,0,0
238,235,MCLA,4.944724689705714,0,4,0,0
118,236,Spalding,4.779511698199715,0,5,0,0
202,237,King's (PA),4.130444391556769,0,5,0,0
136,238,Curry,3.9900031255462953,0,7,0,0
39,239,Brevard,3.8367195599775434,2,7,0,6
162,240,Cairn,3.385105860996077,0,5,0,0
185,241,Thomas (ME),3.3353309337606003,0,5,0,0
112,242,Thiel,3.1329431009721294,0,6,0,0
229,243,VTSU Castleton,2.520228462566719,0,5,0,0
113,244,Anderson (IN),2.228711876792836,0,6,0,0
211,245,Randolph,2.104496575376147,0,6,0,0
127,246,Warren Wilson,1.959654803449367,0,5,0,0
