,Rank,Team,Index,Wins,Losses,Ties,Points,Mask
291,40,John Carroll,33.1934667727503,13,5,0,39,True
230,41,Mary Washington,32.94972028883705,12,4,5,41,True
394,42,Wesleyan (CT),32.72655505086,9,5,4,31,True
38,43,Lycoming,32.26285156046919,16,2,1,49,True
389,44,Claremont-M-S,31.587158378803686,12,4,2,38,True
410,45,Centre,31.454935694021728,11,5,2,35,True
366,46,Cortland,31.12759431336112,13,2,4,43,True
212,47,Bridgewater (VA),31.11955398265541,13,6,0,39,True
283,48,Rochester (NY),30.50888097591364,8,4,6,30,True
393,49,NYU,30.4205587250906,8,5,4,28,True
406,50,Hartford,29.96414019943801,13,4,1,40,True
188,51,Bowdoin,29.514296836232305,10,6,0,30,True
433,52,William Smith,29.342548357092706,9,3,3,30,True
36,53,SUNY Brockport,29.052820822055697,12,1,4,40,True
289,54,Penn St. Harrisburg,28.33305067862809,16,5,3,51,True
57,55,Arcadia,28.004707028731318,11,3,3,36,True
151,56,Hamilton,27.697421085369673,8,5,3,27,True
409,57,Stevens,27.471227928885362,11,4,5,38,True
402,58,Sewanee,27.253684060172763,8,3,4,28,True
392,59,TCNJ,27.145305765919677,9,4,5,32,True
70,60,Grove City,26.975326044541525,13,4,2,41,True
354,61,Hardin-Simmons,26.917508164286303,10,4,2,32,True
296,62,Spalding,26.749494145891408,14,3,2,44,True
172,63,Franklin & Marshall,26.725827629009064,10,5,4,34,True
274,64,St. John Fisher,26.278454526848524,12,4,2,38,True
165,65,Rivier,24.279844021053716,14,3,2,44,True
55,66,York (PA),24.23326232050628,12,5,2,38,True
169,67,Emmanuel (MA),24.171433351127074,14,4,3,45,True
69,68,RIT,23.741739824143995,9,4,6,33,True
204,69,U New England,23.334835298518854,12,4,3,39,True
383,70,Pacific Lutheran,23.08596518655246,12,2,4,40,True
66,71,MSOE,22.969072630029245,14,5,2,44,True
15,72,Marywood,22.15576045980289,15,3,0,45,True
147,73,Brandeis,21.943134035510518,7,6,4,25,True
441,74,Texas Lutheran,21.724625817225895,11,4,2,35,True
372,75,Denison,21.72153573028481,8,4,5,29,True
104,76,Trine,21.681721820558423,8,4,6,30,True
71,77,Lebanon Valley,21.595448593054677,13,4,2,41,True
235,78,Wooster,21.493449816348065,9,3,3,30,True
2,79,Puget Sound,21.02330206552736,13,4,4,43,True
100,80,Saint Vincent,20.598178753594965,13,4,1,40,True
157,81,Oglethorpe,20.59501926371252,8,5,1,25,True
182,82,Dubuque,20.42130488863499,11,2,5,38,True
194,83,Dominican (IL),19.979295052130126,12,5,1,37,True
252,84,Waynesburg,19.872463253791064,15,3,2,47,True
244,85,Edgewood,19.513812014222047,14,4,1,43,True
46,86,Suffolk,18.85054567955858,10,3,6,36,True
229,87,Southern Va.,18.82850327704014,12,6,2,38,True
431,88,Lasell,18.784169566178416,12,4,1,37,True
376,89,Mary Hardin-Baylor,18.663530111281784,7,6,5,26,True
295,90,Wilmington (OH),18.645982003812566,12,5,3,39,True
379,91,Lynchburg,18.481407141755483,9,6,2,29,True
213,92,Catholic,18.310830396214794,10,6,3,33,True
309,93,Wittenberg,18.230351769787717,6,2,6,24,True
156,94,Union (NY),18.225043277258862,9,6,3,30,True
44,95,Shenandoah,17.951263819498095,11,7,3,36,True
111,96,Webster,17.57503784328245,14,4,0,42,True
284,97,St. Lawrence,17.529737790013225,8,6,2,26,True
364,98,Fredonia,17.178147037033764,10,4,4,34,True
166,99,WestConn,17.049986323818437,13,7,2,41,True
355,100,McMurry,17.040122914457594,10,4,5,35,True
303,101,Albertus Magnus,16.913424936728536,13,2,3,42,True
110,102,DePauw,16.75637516453744,9,7,1,28,True
108,103,Roger Williams,16.68123225438039,10,3,5,35,True
237,104,St. Mary's (MD),16.58913802315443,12,6,2,38,True
62,105,Endicott,16.544805819240352,10,7,2,32,True
451,106,Rose-Hulman,16.28316743434024,10,6,2,32,True
256,107,Trinity (CT),16.047677953595024,6,7,2,20,True
209,108,Springfield,16.04355809328715,11,8,0,33,True
146,109,Babson,16.039766051008264,8,5,5,29,True
423,110,UW-River Falls,15.99240793941772,11,5,3,36,True
216,111,Washington Col.,15.886732599810793,9,6,2,29,True
195,112,North Park,15.869617099877559,9,8,0,27,True
25,113,Eastern Conn. St.,15.358967747261588,10,5,3,33,True
236,114,Albion,15.330867960154256,8,5,2,26,True
90,115,Belhaven,15.224052353116848,14,5,3,45,True
26,116,St. Joseph's (L.I.),15.161352868767242,13,4,3,42,True
420,117,Ithaca,15.119877997872598,6,6,4,22,True
103,118,Capital,14.920236637028442,8,6,3,27,True
450,119,SUNY New Paltz,14.888069372476783,6,3,6,24,True
12,120,Southwestern (TX),14.703902815112412,8,7,4,28,True
35,121,Skidmore,14.526650182123205,7,6,4,25,True
385,122,Simpson,14.49664190889098,10,6,1,31,True
80,123,Berry,14.186991899719713,6,4,5,23,True
422,124,Augsburg,14.128773484909145,9,7,1,28,True
224,125,Kenyon,13.934890435353697,7,4,5,26,True
88,126,Greenville,13.88480773712615,11,7,2,35,True
197,127,Plattsburgh St.,13.812255874757719,9,6,2,29,True
440,128,Ursinus,13.749059514252753,7,6,3,24,True
163,129,Ill. Wesleyan,13.637796878099811,9,6,3,30,True
323,130,Wheaton (MA),13.601229321553319,10,8,0,30,True
240,131,Kalamazoo,13.521860000745285,9,6,4,31,True
360,132,St. Thomas (TX),13.318132552736857,10,4,3,33,True
175,133,WPI,13.30358124895765,9,7,3,30,True
293,134,Mount Union,13.10862925591689,7,5,4,25,True
265,135,Penn College,13.105457039136013,13,3,2,41,True
414,136,Emerson,13.077718777192086,7,6,4,25,True
143,137,Houghton,13.077580679316393,10,6,4,34,True
307,138,Stevenson,12.947801491799716,8,6,5,29,True
478,139,UMSV,12.931605263927036,12,4,2,38,True
192,140,Carthage,12.91503766081243,8,4,5,29,True
128,141,Wis.-Platteville,12.574839200250329,7,6,6,27,True
231,142,Randolph-Macon,12.521737752114754,9,7,2,29,True
277,143,Bates,12.467040571422201,4,8,3,15,True
98,144,Wis.-Stevens Point,12.432979997611017,8,5,8,32,True
444,145,Occidental,12.275584860372796,7,7,2,23,True
52,146,Hartwick,12.094048607530734,9,4,6,33,True
127,147,Saint Mary's (MN),12.086500777624957,9,6,3,30,True
219,148,Rhode Island Col.,11.998961025461355,8,6,1,25,True
290,149,Susquehanna,11.944871590423716,9,7,3,30,True
232,150,McDaniel,11.921356617207584,5,8,3,18,True
48,151,Gettysburg,11.8090060311493,7,9,3,24,True
275,152,Buffalo St.,11.709552620158416,7,6,5,26,True
367,153,Roanoke,11.701655631333484,9,7,1,28,True
205,154,Lancaster Bible,11.448492355914818,10,6,0,30,True
239,155,Central (IA),11.421573449384859,8,5,3,27,True
68,156,Elmhurst,11.309377443191792,11,6,3,36,True
61,157,Nazareth,11.261513761988711,8,7,3,27,True
173,158,Elizabethtown,11.154195578194832,6,5,6,24,True
327,159,JWU (Providence),11.113552092242177,8,8,2,26,True
217,160,Southern Me.,11.098574909627258,10,11,2,32,True
9,161,Mt. St. Joseph,10.923949500280369,9,7,4,31,True
412,162,Merchant Marine,10.784534854787445,9,2,4,31,True
436,163,Otterbein,10.661801971489203,7,6,3,24,True
222,164,Eastern,10.654440015303617,8,5,5,29,True
96,165,UC Santa Cruz,10.58534959558864,6,8,2,20,True
45,166,Rensselaer,10.560127031413112,5,7,4,19,True
97,167,Linfield,10.35265602713054,10,5,4,34,True
58,168,Haverford,10.241728856870036,5,8,4,19,True
215,169,Salisbury,10.018933798532691,5,10,5,20,True
27,170,Maryville (TN),9.999936861742073,8,7,1,25,True
168,171,Connecticut Col.,9.979183684882155,5,9,1,16,True
114,172,Piedmont,9.959567359531803,12,5,1,37,True
37,173,Utica,9.952749103431303,8,6,5,29,True
118,174,Mary Baldwin,9.814634212642197,11,5,1,34,True
373,175,Lawrence,9.80830788123416,9,5,5,32,True
381,176,Wheaton (IL),9.733764203070224,4,6,7,19,True
314,177,Ohio Wesleyan,9.70066690913807,2,5,9,15,True
388,178,Chapman,9.647913280221582,6,7,4,22,True
177,179,Lesley,9.592309456723134,11,4,5,38,True
308,180,Ohio Northern,9.535931648350912,6,9,4,22,True
93,181,Carroll (WI),9.517652182094444,5,6,5,20,True
404,182,Concordia Wisconsin,9.512860262020865,9,8,2,29,True
208,183,Western New Eng.,9.46629027772694,7,5,5,26,True
427,184,Wis.-Oshkosh,9.461398428358233,5,7,4,19,True
254,185,Stockton,9.369078235380002,6,5,7,25,True
301,186,Regis (MA),9.2343722387607,11,7,1,34,True
211,187,Clark (MA),9.190471399174323,6,6,5,23,True
348,188,Macalester,9.127974555510036,8,7,2,26,True
276,189,Husson,9.072085647642687,10,5,2,32,True
149,190,SUNY Geneseo,9.034285118533104,5,6,6,21,True
107,191,Keene St.,9.00296266859128,9,6,6,33,True
150,192,Oswego St.,8.765619082267765,5,6,5,20,True
171,193,Marietta,8.746555703748328,5,3,8,23,True
400,194,Hanover,8.736275964774077,7,6,5,26,True
356,195,St. Mary's (IN),8.723255097338143,6,5,3,21,True
247,196,Gustavus Adolphus,8.54801762328085,6,6,4,22,True
287,197,Wartburg,8.547856465256027,8,8,1,25,True
432,198,Widener,8.512473546044104,6,6,4,22,True
43,199,Marymount (VA),8.365964085664675,11,9,2,35,True
24,200,UMass Boston,8.173882316904407,8,8,3,27,True
407,201,Penn St.-Berks,8.107719271382008,8,7,2,26,True
359,202,East Tex. Baptist,8.068058924490833,5,6,2,17,True
405,203,Heidelberg,8.057778617974021,5,6,4,19,True
258,204,SUNY Potsdam,7.936223859801816,8,7,1,25,True
408,205,Alfred St.,7.881520248728083,10,5,1,31,True
144,206,New Jersey City,7.734467343831233,9,8,2,29,True
102,207,Wis.-Whitewater,7.6845706966985015,8,7,5,29,True
329,208,Wilkes,7.603029895890313,6,6,5,23,True
122,209,Concordia (TX),7.575129280738045,7,8,4,25,True
85,210,Saint Benedict,7.559457439102721,7,10,0,21,True
492,211,Whittier,7.474835431507348,3,5,4,13,True
101,212,Pitt.-Greensburg,7.265374786094585,9,9,3,30,True
401,213,Transylvania,7.249618264559292,6,7,5,23,True
294,214,Chatham,7.171033482299097,10,5,3,33,True
353,215,Howard Payne,7.063713520540486,5,9,0,15,True
268,216,Guilford,6.994880720173605,7,7,2,23,True
51,217,SUNY Oneonta,6.991961100120148,4,7,4,16,True
133,218,Anderson (IN),6.962479673926664,7,6,4,25,True
255,219,Drew,6.923137336493964,5,9,3,18,True
78,220,Westminster (MO),6.901145647871249,8,7,2,26,True
350,221,Austin,6.851786826612118,5,5,3,18,True
34,222,Alma,6.841554834911608,8,7,1,25,True
32,223,Westfield St.,6.728086671712916,9,5,6,33,True
167,224,UMass Dartmouth,6.70588616389699,6,8,2,20,True
269,225,Methodist,6.677817407484441,5,5,5,20,True
471,226,St. Joseph's (ME),6.637019056372626,8,7,1,25,True
0,227,Pacific (OR),6.5434398982875726,5,6,8,23,True
334,228,Kean,6.53437867251769,6,6,3,21,True
207,229,Greensboro,6.527090934932356,10,7,2,32,True
279,230,Norwich,6.50182087692482,7,7,3,24,True
206,231,Wellesley,6.3952942505721815,5,9,4,19,True
158,232,Covenant,6.366676904551115,6,8,2,20,True
86,233,Adrian,6.32784049733644,6,10,2,20,True
6,234,Asbury,6.273615817854044,9,9,3,30,True
453,235,Whitman,6.067774082367203,4,5,9,21,True
340,236,Wis.-Stout,6.046710984254805,6,9,3,21,True
179,237,Ramapo,5.950841518564902,6,9,1,19,True
271,238,Baldwin Wallace,5.822966023296144,4,10,3,15,True
318,239,Muhlenberg,5.769261535267555,4,9,3,15,True
272,240,Allegheny,5.756623928573486,6,7,5,23,True
196,241,Clarkson,5.687530883593318,3,9,2,11,True
313,242,Rutgers-Camden,5.628028013816481,4,7,6,18,True
322,243,Worcester St.,5.5196796234743655,9,8,1,28,True
259,244,LeTourneau,5.510092440556353,7,7,2,23,True
335,245,FDU-Florham,5.478374922707002,6,7,3,21,True
315,246,Franciscan,5.439815772367632,6,8,4,22,True
417,247,Maine Maritime,5.420198122198427,11,7,1,34,True
311,248,Coast Guard,5.40963621442119,5,10,3,18,True
302,249,Gordon,5.284159518952831,4,9,4,16,True
28,250,Farmingdale St.,5.2196867676229495,8,9,3,27,True
357,251,Hendrix,5.186164748018381,6,8,4,22,True
138,252,Alfred,5.18120918661175,6,8,2,20,True
155,253,Wis.-Superior,5.1748167272630825,11,7,4,37,True
280,254,VTSU Castleton,5.162043305380396,8,10,0,24,True
382,255,Wis.-Eau Claire,5.141485532776426,3,9,5,14,True
299,256,Sarah Lawrence,5.092991340047924,8,8,2,26,True
161,257,Wentworth,5.062046294175411,6,5,6,24,True
325,258,Illinois Col.,5.043372377138649,8,8,2,26,True
428,259,Neb. Wesleyan,5.019426161419566,4,5,5,17,True
50,260,Rutgers-Newark,4.992892582836888,7,9,2,23,True
186,261,Millikin,4.91749953951364,3,10,3,12,True
249,262,King's (PA),4.831138344131771,5,9,2,17,True
319,263,DeSales,4.7872741671148935,4,8,3,15,True
76,264,Northwestern-St. Paul,4.735177711724848,12,8,3,39,True
233,265,Marian (WI),4.7139001171067445,6,8,4,22,True
154,266,John Jay,4.674071512703328,10,3,3,33,True
180,267,Mt. St. Mary (NY),4.591483683028366,8,8,2,26,True
339,268,Luther,4.57275368026129,5,9,2,17,True
481,269,Whitworth,4.564800414123663,3,7,7,16,True
190,270,Russell Sage,4.387728930488577,5,8,3,18,True
238,271,Hamline,4.23278580125499,2,8,7,13,True
20,272,St. Scholastica,4.223661629969769,4,11,4,16,True
387,273,Willamette,4.2105501056834935,3,6,9,18,True
220,274,Salve Regina,4.146814966775196,4,11,2,14,True
137,275,Geneva,4.13113904477437,5,7,4,19,True
378,276,JWU Charlotte,4.106461972380825,7,8,1,22,True
377,277,East. Mennonite,4.0873548369196895,6,10,0,18,True
328,278,Wm. Paterson,4.080996433784622,5,10,2,17,True
337,279,Juniata,4.044685972440553,4,7,4,16,True
371,280,Grinnell,3.9895067049803488,6,7,3,21,True
326,281,Bridgewater St.,3.7718027059304884,5,7,4,19,True
64,282,Gwynedd Mercy,3.7601997646976826,11,9,1,34,True
351,283,VTSU-Johnson,3.746874900529151,6,3,5,23,True
462,284,Westminster (PA),3.6985046226967833,3,8,4,13,True
264,285,Mount Aloysius,3.676812764845281,5,7,3,18,True
246,286,Bethany Lutheran,3.629942656474015,9,7,2,29,True
298,287,Saint Joseph (CT),3.623958880436511,6,10,1,19,True
297,288,Alvernia,3.6238221044775756,4,8,5,17,True
430,289,Principia,3.6151628469757457,5,6,2,17,True
10,290,La Verne,3.501797714513656,3,11,5,14,True
281,291,Elms,3.3389226493804185,7,8,1,22,True
72,292,Moravian,3.328253665690033,3,12,2,11,True
140,293,Curry,3.3233654851188814,3,9,5,14,True
434,294,Lewis & Clark,3.314501133378642,3,10,5,14,True
83,295,Penn St.-Altoona,3.295741612866601,5,6,6,21,True
170,296,Wash. & Jeff.,3.277848646833982,5,9,3,18,True
115,297,Oberlin,3.091604495925334,3,10,3,12,True
187,298,Monmouth (IL),3.087586533384874,6,6,3,21,True
31,299,Colby-Sawyer,3.0695113317432003,6,8,5,23,True
285,300,Neumann,3.0286528687798215,6,9,2,20,True
23,301,Smith,2.998269939684108,3,12,2,11,True
480,302,Wis. Lutheran,2.9784093565672642,5,7,3,18,True
228,303,Penn St.-Abington,2.9229495293652077,6,9,1,19,True
113,304,N.C. Wesleyan,2.909829956606886,7,10,0,21,True
47,305,Hood,2.8393399923998737,4,13,2,14,True
54,306,Bryn Mawr,2.815703168390163,4,12,1,13,True
119,307,Randolph,2.7559196070239405,6,9,1,19,True
75,308,Bethel (MN),2.7136969369413664,3,13,2,11,True
368,309,Schreiner,2.686287118440143,4,9,1,13,True
201,310,Me.-Farmington,2.5944951980010558,8,8,3,27,True
304,311,Mount Holyoke,2.573197307819164,0,10,5,5,True
82,312,Wilson,2.556919571051327,7,10,3,24,True
125,313,Bluffton,2.538814956237415,7,10,0,21,True
131,314,Plymouth St.,2.5124693342670397,5,12,0,15,True
243,315,Aurora,2.338030001923427,5,11,1,16,True
60,316,Meredith,2.332223289402945,3,10,4,13,True
33,317,Earlham,2.303696808455764,5,11,1,16,True
253,318,La Roche,2.3025055847734435,3,8,3,12,True
153,319,Pratt,2.2205997771158623,8,6,2,26,True
109,320,George Fox,2.1800655210459965,0,11,7,7,True
121,321,Salem (NC),2.133688689131788,5,7,4,19,True
142,322,Hilbert,2.114562832130381,5,7,3,18,True
16,323,Berea,2.1005835271958477,7,8,3,24,True
116,324,Dallas,2.0286653074287706,3,11,1,10,True
141,325,Keuka,2.00827470061404,1,10,4,7,True
145,326,Manhattanville,1.9734400411628599,6,10,0,18,True
333,327,LaGrange,1.9597984685931995,4,10,4,16,True
449,328,Old Westbury,1.9490833379384567,7,7,0,21,True
324,329,Augustana (IL),1.9429282246120119,3,12,2,11,True
18,330,Caltech,1.9293472395090248,1,12,2,5,True
112,331,Knox,1.8853606666449725,4,9,3,15,True
49,332,Bard,1.8792339493076378,3,11,0,9,True
210,333,Framingham St.,1.8584735376033719,6,9,4,22,True
260,334,Ozarks (AR),1.8359522485797315,2,9,4,10,True
439,335,SUNY Delhi,1.8270614357057142,5,7,3,18,True
270,336,Salem St.,1.7838016395069047,6,7,3,21,True
391,337,Notre Dame (MD),1.7471167925253555,5,9,2,17,True
248,338,Elmira,1.7403322460993924,2,12,2,8,True
267,339,Millsaps,1.706553188510711,2,12,2,8,True
124,340,Concordia-M'head,1.6960294880447229,0,12,5,5,True
413,341,Penn St. Brandywine,1.6717198274904526,6,8,1,19,True
426,342,Immaculata,1.6287872871419582,4,10,0,12,True
189,343,Thomas (ME),1.6190134722278926,5,10,2,17,True
40,344,Buena Vista,1.5673106796626481,3,12,2,11,True
30,345,Redlands,1.5585307477793733,1,13,2,5,True
344,346,Ripon,1.5382857385859832,4,7,5,17,True
202,347,Albright,1.492597298301767,2,14,2,8,True
39,348,Martin Luther,1.4671156290808718,7,8,2,23,True
234,349,Beloit,1.4316721777992776,4,10,2,14,True
164,350,SUNY Morrisville,1.4036856467538685,3,11,0,9,True
4,351,Lyon,1.3379695232165298,2,9,3,9,True
361,352,Grace Christian (MI),1.3261539298975962,4,3,0,12,True
67,353,Concordia Chicago,1.3035259074735048,3,12,3,12,True
159,354,Faith Bapt. Bible,1.2845964792271314,3,3,0,9,True
425,355,Coe,1.2430242886367502,2,10,4,10,True
53,356,Delaware Valley,1.2313637899081191,3,13,1,10,True
341,357,St. Norbert,1.2192659841146976,3,12,2,11,True
120,358,Averett,1.1422348444170287,2,12,1,7,True
321,359,Simmons,1.1255140478103216,4,11,1,13,True
241,360,Franklin,1.0909439361451245,2,12,2,8,True
266,361,Huntingdon,1.059533821919575,3,10,2,11,True
460,362,Pfeiffer,0.9779728655236338,2,11,1,7,True
123,363,Minn.-Morris,0.9766940802791186,5,11,3,18,True
79,364,Agnes Scott,0.9646117215498721,4,10,2,14,True
317,365,Centenary (NJ),0.9637169872262397,4,9,3,15,True
331,366,Eureka,0.9575271711878849,3,7,2,11,True
300,367,CCNY,0.9052857486846688,4,8,3,15,True
91,368,Centenary (LA),0.8749319903552163,1,13,3,6,True
421,369,New England Col.,0.8716696097606855,2,11,3,9,True
282,370,Fitchburg St.,0.8476077312401809,2,12,3,9,True
87,371,Hiram,0.8013911966054559,5,13,0,15,True
262,372,MUW,0.7962985473929067,1,11,4,7,True
316,373,Cairn,0.7841358617342742,2,11,2,8,True
310,374,Muskingum,0.7757037890228934,2,14,0,6,True
347,375,Crown (MN),0.7724147403618807,4,12,4,16,True
191,376,Nichols,0.7485189105623785,1,14,1,4,True
185,377,Blackburn,0.7462429386030516,3,11,2,11,True
399,378,SUNY Maritime,0.7316195999954151,4,9,0,12,True
214,379,Goucher,0.6579420403516092,1,15,0,3,True
447,380,Hollins,0.6266440894014874,3,12,1,10,True
257,381,Anna Maria,0.5901377065596933,1,10,2,5,True
226,382,William Peace,0.5892834499628123,1,11,2,5,True
345,383,Lakeland,0.5586160866775837,2,12,2,8,True
162,384,MCLA,0.5405927645542018,3,8,6,15,True
198,385,Brooklyn,0.5369729533869636,4,10,1,13,True
454,386,Purchase,0.5200152795398585,4,11,2,14,True
352,387,Warren Wilson,0.5108866869574586,2,10,3,9,True
139,388,Dean,0.496724276353882,2,13,2,8,True
42,389,Olivet,0.47380260274520625,2,14,0,6,True
346,390,Benedictine (IL),0.47279789554700036,2,15,0,6,True
363,391,Bethany (WV),0.43656486618810136,2,13,0,6,True
250,392,Sweet Briar,0.43400117029864244,3,11,0,9,True
223,393,Cedar Crest,0.39670215967826955,3,10,0,9,True
278,394,Manchester,0.39301895443262813,1,14,1,4,True
148,395,SUNY Canton,0.382971128170678,1,15,0,3,True
320,396,Mass. Maritime,0.357015286944522,2,12,2,8,True
160,397,North Central (MN),0.323657059591482,1,13,2,5,True
251,398,Regent,0.3215973667914457,1,14,3,6,True
199,399,Saint Elizabeth,0.31397326688800004,3,9,0,9,True
448,400,Fisher,0.3031113484111567,2,9,1,7,True
245,401,Cornell College,0.3006896759904736,1,15,0,3,True
81,402,SUNY Poly,0.2817533151624621,0,15,1,1,True
416,403,Me.-Presque Isle,0.2814645664952385,2,10,1,7,True
94,404,Pitt.-Bradford,0.2678578034378186,1,11,1,4,True
63,405,Valley Forge,0.26126904853071464,4,11,0,12,True
464,406,Mitchell,0.22883582939738562,1,13,0,3,True
380,407,SUNY Cobleskill ,0.20998342788404684,1,10,0,3,True
130,408,Carlow,0.20566846073671516,0,12,1,1,True
457,409,St. Joseph's (Brkln),0.1706278849156201,1,13,0,3,True
105,410,VTSU Lyndon,0.13685103212914101,1,12,0,3,True
225,411,Thiel,0.12971422483617656,0,15,0,0,True
467,412,Trinity Washington,0.12675747206882906,0,6,0,0,True
41,413,Rockford,0.10623613256362166,1,16,0,3,True
415,414,Wesleyan (GA),0.0992573701803604,0,12,0,0,True
465,415,York (NY),0.09761921138198505,3,10,0,9,True
479,416,Lehman,0.09262912502931742,1,13,0,3,True
424,417,Maranatha Baptist,0.0891079372466235,2,13,0,6,True
435,418,Keystone,0.051910763648218755,0,12,1,1,True
181,419,Yeshiva,0.04350308501160079,0,12,0,0,True
