,Rank,Team,Index,Wins,Losses,Ties,Points
58,151,Villarreal Erie Academy,19.54859678177542,5,5,1,16
109,152,Allegiant FC Hammond,19.51193164022549,4,6,0,12
150,153,Dallas Hornets,19.47958631912037,4,5,2,14
91,154,Frederick Kings FC,18.84077612012357,4,5,0,12
43,155,Alexandria Reds,18.82923534016323,3,5,2,11
211,156,Inland Empire FC,18.797946813928956,2,6,2,8
7,157,San Juan SC,18.77909541258174,5,4,2,17
210,158,Shoreline United FC,18.75391103153986,4,5,1,13
176,159,Sporting San Diego,18.540496376324278,5,6,0,15
36,160,Provo Athletic Club,18.440321005287146,5,5,2,17
164,161,MoCo 1776 FC,18.1771506371288,2,4,3,9
67,162,North Stars Berryville,18.15603215491435,5,5,0,15
82,163,Selma Football Club,17.896176028357214,4,5,1,13
236,164,Florida Futbol Club,17.695296655397453,5,7,1,16
86,165,Acoreano Sport,17.638957079100937,4,6,1,13
76,166,Sporting FC,17.26961743765912,4,5,2,14
104,167,Alianza FC,17.123279852696104,3,6,2,11
144,168,Cavalry UPSL,17.040168707685794,3,6,2,11
204,169,Atletico Elite FC,16.706542735837687,5,5,1,16
102,170,Drita SC,16.697445760633542,1,5,4,7
238,171,Barca Residency Academy USA,16.417827286920016,4,4,2,14
50,172,FC Birmingham,16.384010402208194,5,6,3,18
98,173,Berber City FC,16.200520898222493,3,6,1,10
129,174,Little Rock Rangers Academy U20,16.006278454163578,6,5,0,18
209,175,Ozark United FC U20 Academy,15.839946595110764,6,5,0,18
94,176,United SC,15.748659564989724,4,6,1,13
197,177,Georgia Athletic Soccer Club,15.458655724940892,5,6,2,17
199,178,Santa Ana Winds FC,15.428152204456827,3,6,1,10
208,179,Gala fc,15.139173156932628,3,5,2,11
78,180,Ocelot Los Angeles Academy,15.042771293890254,3,6,1,10
142,181,Houston FC,14.877503366575539,1,5,4,7
226,182,Coronado Athletic Club,14.798887708760635,4,6,1,13
182,183,Southwest SC,14.783106333376802,4,5,1,13
219,184,Charlotte Soccer Academy,14.632637547221572,4,6,2,14
31,185,Snohomish Sky,14.387103957549286,3,6,2,11
263,186,Ideasport SA,13.806324943665869,4,5,1,13
185,187,Paul Depay F.C,13.781613310214816,4,6,0,12
217,188,Gastonia FC,13.615367169339333,4,6,2,14
246,189,Brooklyn FC II,13.610489308645567,3,5,2,11
