,Rank,Team,Index,Wins,Losses,Points
97,295,IU Indy,4.642534239491419,7,13,21
56,296,Wyoming,4.627335111956659,8,15,24
272,297,Denver,4.559323181403034,6,14,18
323,298,Western Mich.,4.439534383697941,7,12,21
93,299,Oakland,4.401447993026255,7,16,21
170,300,Tulane,4.336484689479111,7,14,21
384,301,Hope Int'l,4.333355417470308,0,2,0
225,302,Bob Jones,4.325977430080293,0,3,0
61,303,New Mexico St.,4.304203438649047,7,15,21
173,304,St. Mary (NE),4.281899251753729,0,2,0
399,305,Chapman,4.247404927430066,0,2,0
426,306,St. Joseph's (Brkln),4.20671552033408,0,2,0
25,307,Lipscomb,4.206443488909423,6,15,18
328,308,Iona,4.152985166400247,13,11,39
178,309,Haskell,4.152078632406213,0,3,0
7,310,Mount St. Mary's,4.152065712233452,12,12,36
211,311,Cornell,4.060135051942359,7,13,21
103,312,Washington St.,3.9996441151313364,5,20,15
316,313,Nicholls,3.959298049418841,10,11,30
380,314,Ark. Baptist,3.9284128975913424,0,3,0
191,315,SIUE,3.8974318559714916,8,14,24
114,316,Nevada,3.875354044882272,6,16,18
19,317,Marist,3.865708295420789,10,15,30
187,318,Ark.-Pine Bluff,3.8005981368093034,8,12,24
69,319,Harris-Stowe,3.7946567961338826,0,3,0
417,320,Dillard,3.7926286932739597,0,2,0
126,321,Virginia-Lynchburg,3.721524402106647,0,2,0
305,322,Montana,3.6902817798952983,6,16,18
71,323,San Diego,3.6861961043348948,8,17,24
398,324,Alas. Anchorage,3.551489382556954,0,3,0
374,325,North Florida,3.4977428636091012,7,14,21
422,326,La Sierra,3.4850561340968578,0,3,0
110,327,Fisk,3.414147665647707,0,4,0
310,328,Samford,3.409495946972237,8,16,24
333,329,Bucknell,3.3876525907769337,8,13,24
67,330,Winthrop,3.293649891149971,9,13,27
332,331,Hampton,3.273228583394913,8,14,24
298,332,Northern Ariz.,3.265666738145514,6,16,18
404,333,Me.-Fort Kent,3.2133171394424735,0,2,0
39,334,Westminster (UT),3.1258149298924467,0,3,0
41,335,Southeast Mo. St.,3.120299206701098,7,15,21
396,336,LeTourneau,3.103561575839833,0,2,0
324,337,Duquesne,2.9906418253619673,4,16,12
10,338,Pittsburgh,2.9673281204019126,8,16,24
120,339,New Hampshire,2.9278341537665633,6,15,18
199,340,Fordham,2.870764009214504,8,15,24
230,341,LIU,2.857643860447659,12,8,36
359,342,Bloomfield Col.,2.7771067781132652,0,3,0
402,343,Huston-Tillotson,2.7571909071667275,0,2,0
306,344,CSUN,2.749359100067947,6,14,18
373,345,Washington Adventist,2.701612048440252,0,2,0
344,346,Drake,2.6980658226385295,5,17,15
36,347,DePaul,2.696860777166338,5,20,15
263,348,Utah St.,2.6357091874130836,5,17,15
206,349,Northeastern,2.6055717495658084,6,14,18
391,350,Southern Ill.,2.583060059926999,7,13,21
392,351,Texas Southern,2.562344739776625,6,14,18
297,352,Utah Tech,2.559725861207407,6,15,18
51,353,Weber St.,2.557255504827905,6,18,18
216,354,Boston U.,2.487143205507713,7,15,21
331,355,Sacred Heart,2.4211029913388207,10,12,30
205,356,Yale,2.3967309924477544,5,16,15
186,357,Charleston So.,2.3641595728821656,7,15,21
418,358,CarolinaU,2.3635995041449203,0,4,0
